 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  11.12.2021    Time:  16:14:31
 Units: L = m    , T = days , M = ng   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
   2    -1.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
   3    -2.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
   4    -3.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
   5    -4.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
   6    -5.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
   7    -6.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
   8    -7.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
   9    -8.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  10    -9.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  11   -10.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  12   -11.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  13   -12.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  14   -13.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  15   -14.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  16   -15.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  17   -16.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  18   -17.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  19   -18.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  20   -19.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  21   -20.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  22   -21.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  23   -22.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  24   -23.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  25   -24.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  26   -25.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  27   -26.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  28   -27.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  29   -28.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  30   -29.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  31   -30.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  32   -31.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  33   -32.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  34   -33.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  35   -34.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  36   -35.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  37   -36.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  38   -37.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  39   -38.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  40   -39.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  41   -40.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  42   -41.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  43   -42.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  44   -43.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  45   -44.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  46   -45.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  47   -46.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  48   -47.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  49   -48.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  50   -49.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  51   -50.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  52   -51.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  53   -52.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  54   -53.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  55   -54.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  56   -55.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  57   -56.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  58   -57.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  59   -58.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  60   -59.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  61   -60.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  62   -61.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  63   -62.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  64   -63.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  65   -64.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  66   -65.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  67   -66.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  68   -67.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
  69   -68.0000    -100.000 0.0660   0.1677E-12  0.8480E-05 -0.1677E-12  0.0000E+00      -1  -0.158E-12   20.00  0.0000E+00  0.0000E+00
